perturbations,include_original,shuffle,loss,lr,weight_decay,batch_size,epochs,training_time,baseline_train_accuracy,baseline_test_accuracy,adversarial_accuracy_eps=0.025,adversarial_accuracy_eps=0.05,adversarial_accuracy_eps=0.075,adversarial_accuracy_eps=0.1
[],True,True,CrossEntropyLoss(),0.0001,0.0001,64,20,59.230708360672,0.87206,0.7304,0.1793,0.1317,0.1172,0.1081
"[['Identity'], ['Identity']]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,59.95062565803528,0.87488,0.7304,0.1764,0.1382,0.1242,0.1127
"[['Identity'], ['Identity'], ['Identity']]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,67.46201491355896,0.88454,0.7293,0.169,0.1302,0.1201,0.1093
"[['RotationFlip', 0.3]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,70.21249675750732,0.70238,0.6587,0.3879,0.2431,0.1896,0.1478
"[['SaltPepper', 0.05]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,72.56822204589844,0.80262,0.6796,0.3915,0.201,0.161,0.1475
"[[['RotationFlip', 0.3], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,82.84572124481201,0.64614,0.6142,0.4702,0.3181,0.2483,0.2174
"[['RotationFlip', 0.3], ['SaltPepper', 0.05]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,92.04742431640625,0.70182,0.6568,0.4244,0.2661,0.2045,0.1771
"[['Lp-norm', 0.05, 1], ['Lp-norm', 0.05, 2], ['Lp-norm', 0.05, 3], ['Lp-norm', 0.05, 4], ['Lp-norm', 0.05, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,79.40236783027649,0.88296,0.7394,0.1739,0.136,0.1239,0.1155
"[['Lp-norm', 0.05, 11], ['Lp-norm', 0.05, 12], ['Lp-norm', 0.05, 13], ['Lp-norm', 0.05, 14], ['Lp-norm', 0.05, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,76.59738492965698,0.87712,0.7256,0.185,0.1441,0.1306,0.1201
"[['Lp-norm', 0.1, 1], ['Lp-norm', 0.1, 2], ['Lp-norm', 0.1, 3], ['Lp-norm', 0.1, 4], ['Lp-norm', 0.1, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,76.23405981063843,0.89896,0.7342,0.1765,0.1356,0.1252,0.1173
"[['Lp-norm', 0.1, 11], ['Lp-norm', 0.1, 12], ['Lp-norm', 0.1, 13], ['Lp-norm', 0.1, 14], ['Lp-norm', 0.1, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,77.56748700141907,0.86928,0.72,0.1861,0.1386,0.1248,0.1165
"[[['Lp-norm', 0.1, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,103.27079343795776,0.71056,0.6561,0.3596,0.2058,0.1749,0.1511
"[[['Lp-norm', 0.1, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,143.59604334831238,0.73248,0.6697,0.2775,0.1667,0.1357,0.1273
"[[['Lp-norm', 0.1, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,108.75796818733215,0.84454,0.6977,0.2581,0.162,0.1379,0.1316
"[[['Lp-norm', 0.1, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, inf], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,161.33806347846985,0.88196,0.6984,0.2349,0.163,0.1513,0.14
"[[['Lp-norm', 0.1, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.1, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.1, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,154.39897632598877,0.82572,0.692,0.2651,0.162,0.145,0.1329
"[['Lp-norm', 0.25, 1], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 3], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,78.53012752532959,0.88476,0.7322,0.1835,0.1337,0.1213,0.1151
"[['Lp-norm', 0.25, 11], ['Lp-norm', 0.25, 12], ['Lp-norm', 0.25, 13], ['Lp-norm', 0.25, 14], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,79.03865313529968,0.8734,0.7263,0.2018,0.1401,0.1332,0.1235
"[['Lp-norm', 0.5, 1], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.5, 3], ['Lp-norm', 0.5, 4], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,78.64333057403564,0.87256,0.72,0.2046,0.1437,0.1282,0.1207
"[['Lp-norm', 0.5, 11], ['Lp-norm', 0.5, 12], ['Lp-norm', 0.5, 13], ['Lp-norm', 0.5, 14], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,78.78538656234741,0.8622,0.7116,0.2253,0.1451,0.1322,0.1204
"[[['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,104.75759744644165,0.69286,0.6367,0.3614,0.234,0.1873,0.1476
"[[['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,149.04807019233704,0.73494,0.6787,0.2948,0.1746,0.1602,0.1388
"[[['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,113.78596663475037,0.84712,0.708,0.2666,0.1562,0.1338,0.1244
"[[['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,168.45124340057373,0.86646,0.6994,0.2255,0.1528,0.1354,0.1299
"[[['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,159.4949939250946,0.82126,0.6984,0.2793,0.1669,0.1458,0.1342
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.25, 1], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 3], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,96.6752758026123,0.84246,0.7171,0.2206,0.1391,0.1264,0.1158
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.25, 11], ['Lp-norm', 0.25, 12], ['Lp-norm', 0.25, 13], ['Lp-norm', 0.25, 14], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,96.95855927467346,0.84534,0.7134,0.2302,0.1568,0.1408,0.1293
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 1], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.5, 3], ['Lp-norm', 0.5, 4], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,97.15046906471252,0.8556,0.7173,0.2338,0.1616,0.1395,0.1331
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 11], ['Lp-norm', 0.5, 12], ['Lp-norm', 0.5, 13], ['Lp-norm', 0.5, 14], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,97.01641082763672,0.8442,0.711,0.2436,0.1433,0.1303,0.1177
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,112.91150450706482,0.6969,0.6489,0.3342,0.2169,0.1691,0.1558
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,162.02156972885132,0.7327,0.6604,0.2747,0.1727,0.136,0.1254
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,122.91661334037781,0.82398,0.6971,0.2736,0.1634,0.1386,0.1348
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,182.0993971824646,0.85794,0.7016,0.2297,0.148,0.1367,0.1278
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,171.42706203460693,0.81534,0.691,0.2706,0.1617,0.1455,0.1308
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.25, 1], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 3], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,136.21172761917114,0.86018,0.7193,0.215,0.1479,0.1371,0.1224
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.25, 11], ['Lp-norm', 0.25, 12], ['Lp-norm', 0.25, 13], ['Lp-norm', 0.25, 14], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,136.38291311264038,0.85612,0.7153,0.2398,0.149,0.1408,0.1329
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 1], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.5, 3], ['Lp-norm', 0.5, 4], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,136.41574263572693,0.85516,0.7214,0.2328,0.1437,0.1331,0.1256
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 11], ['Lp-norm', 0.5, 12], ['Lp-norm', 0.5, 13], ['Lp-norm', 0.5, 14], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,134.0924048423767,0.84922,0.716,0.2471,0.1515,0.1345,0.1255
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,152.926176071167,0.70492,0.6553,0.352,0.2117,0.1726,0.1497
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,194.79368257522583,0.74382,0.6554,0.2852,0.1774,0.1498,0.1434
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,175.92820858955383,0.83358,0.688,0.2802,0.1671,0.1449,0.1367
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,217.67846965789795,0.8728,0.7095,0.2492,0.1488,0.1381,0.1262
"[[['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,212.7788326740265,0.81184,0.6908,0.2768,0.1711,0.1474,0.1389
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Laplacian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.25, 1], ['Lp-norm', 0.25, 2], ['Lp-norm', 0.25, 3], ['Lp-norm', 0.25, 4], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,158.051513671875,0.82974,0.703,0.241,0.1514,0.1412,0.127
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Laplacian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.25, 11], ['Lp-norm', 0.25, 12], ['Lp-norm', 0.25, 13], ['Lp-norm', 0.25, 14], ['Lp-norm', 0.25, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,152.9082281589508,0.8513,0.7139,0.2396,0.1491,0.1322,0.1234
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Laplacian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 1], ['Lp-norm', 0.5, 2], ['Lp-norm', 0.5, 3], ['Lp-norm', 0.5, 4], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,151.42940282821655,0.84076,0.7151,0.2429,0.1552,0.1338,0.123
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Laplacian', 0.05], ['RotationFlip', 0.3]], ['Lp-norm', 0.5, 11], ['Lp-norm', 0.5, 12], ['Lp-norm', 0.5, 13], ['Lp-norm', 0.5, 14], ['Lp-norm', 0.5, inf]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,151.9138855934143,0.83564,0.706,0.2606,0.1615,0.1415,0.1279
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,176.6879162788391,0.70336,0.6343,0.3212,0.197,0.1526,0.1217
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,207.7319552898407,0.7411,0.6622,0.2875,0.172,0.142,0.1269
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,185.62146973609924,0.8286,0.6983,0.2778,0.1641,0.1392,0.1323
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,226.23806858062744,0.8591,0.6957,0.237,0.1659,0.1494,0.1453
"[[['Gaussian', 0.05], ['RotationFlip', 0.3]], [['Laplacian', 0.05], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 2], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 3], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 4], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, inf], ['RotationFlip', 0.3]], [['Lp-norm', 0.5, 1], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 2], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 3], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, 4], ['SaltPepper', 0.05]], [['Lp-norm', 0.5, inf], ['SaltPepper', 0.05]]]",False,True,CrossEntropyLoss(),0.0001,0.0001,64,20,212.62304162979126,0.81856,0.6953,0.2644,0.1619,0.144,0.1364
